workspaceName,workspaceUrl,personalName,personalUrl
Workspace calendar 01,https://calendar.example.invalid/workspace-01.ics,Personal calendar 01,https://calendar.example.invalid/personal-01.ics
Workspace calendar 02,https://calendar.example.invalid/workspace-02.ics,Personal calendar 02,https://calendar.example.invalid/personal-02.ics
Workspace calendar 03,https://calendar.example.invalid/workspace-03.ics,Personal calendar 03,https://calendar.example.invalid/personal-03.ics
Workspace calendar 04,https://calendar.example.invalid/workspace-04.ics,Personal calendar 04,https://calendar.example.invalid/personal-04.ics
Workspace calendar 05,https://calendar.example.invalid/workspace-05.ics,Personal calendar 05,https://calendar.example.invalid/personal-05.ics
Workspace calendar 06,https://calendar.example.invalid/workspace-06.ics,Personal calendar 06,https://calendar.example.invalid/personal-06.ics
Workspace calendar 07,https://calendar.example.invalid/workspace-07.ics,Personal calendar 07,https://calendar.example.invalid/personal-07.ics
Workspace calendar 08,https://calendar.example.invalid/workspace-08.ics,Personal calendar 08,https://calendar.example.invalid/personal-08.ics
Workspace calendar 09,https://calendar.example.invalid/workspace-09.ics,Personal calendar 09,https://calendar.example.invalid/personal-09.ics
Workspace calendar 10,https://calendar.example.invalid/workspace-10.ics,Personal calendar 10,https://calendar.example.invalid/personal-10.ics
Workspace calendar 11,https://calendar.example.invalid/workspace-11.ics,Personal calendar 11,https://calendar.example.invalid/personal-11.ics
Workspace calendar 12,https://calendar.example.invalid/workspace-12.ics,Personal calendar 12,https://calendar.example.invalid/personal-12.ics
